Frecuencias de nombres

Nombres por provincia y década de nacimiento

Provincia: Valencia/València
Década de nacimiento: Años 2000
Nº	Nombre	Total	Por mil ‰
1	MARIA	4.709	39,380
2	LUCIA	4.386	36,679
3	PAULA	4.301	35,968
4	MARTA	3.253	27,204
5	ANDREA	2.830	23,667
6	CARLA	2.797	23,391
7	LAURA	2.588	21,643
8	ALBA	2.576	21,543
9	SARA	2.538	21,225
10	CLAUDIA	2.392	20,004
11	NEREA	1.885	15,764
12	IRENE	1.833	15,329
13	AITANA	1.752	14,652
14	ANA	1.678	14,033
15	NATALIA	1.388	11,608
16	SOFIA	1.273	10,646
17	ELENA	1.267	10,596
18	SANDRA	1.196	10,002
19	CARMEN	1.179	9,860
20	MIREIA	1.161	9,709
21	NURIA	1.148	9,601
22	AINHOA	1.124	9,400
23	ANGELA	1.084	9,065
24	CRISTINA	1.031	8,622
25	CLARA	966	8,078
26	MAR	947	7,920
27	JULIA	893	7,468
28	RAQUEL	866	7,242
29	MARINA	839	7,016
30	INES	832	6,958
31	NOELIA	785	6,565
32	BLANCA	777	6,498
33	ROCIO	777	6,498
34	ALEJANDRA	743	6,214
35	DANIELA	743	6,214
36	EVA	732	6,122
37	CELIA	717	5,996
38	ALICIA	685	5,729
39	ADRIANA	653	5,461
40	PATRICIA	636	5,319
41	CAROLINA	632	5,285
42	SILVIA	625	5,227
43	LORENA	577	4,825
44	ESTHER	558	4,666
45	MIRIAM	557	4,658
46	ISABEL	549	4,591
47	LAIA	542	4,533
48	CANDELA	506	4,232
49	MARTINA	506	4,232
50	NEUS	457	3,822
51	AROA	447	3,738
52	EMMA	429	3,588
53	ANNA	427	3,571
54	VICTORIA	426	3,563
55	MONICA	424	3,546
56	ARIADNA	413	3,454
57	BELEN	413	3,454
58	VALERIA	412	3,445
59	NOA	409	3,420
60	AINARA	401	3,353
61	SONIA	398	3,328
62	NAIARA	380	3,178
63	LIDIA	378	3,161
64	ERIKA	364	3,044
65	BEATRIZ	354	2,960
66	TERESA	348	2,910
67	LARA	346	2,894
68	NAYARA	345	2,885
69	REBECA	342	2,860
70	ANA MARIA	333	2,785
71	YAIZA	318	2,659
72	HELENA	316	2,643
73	ARANTXA	306	2,559
74	SHEILA	297	2,484
75	ESTELA	291	2,434
76	JUDITH	290	2,425
77	GEMA	285	2,383
78	ZAIRA	285	2,383
79	LOLA	274	2,291
80	GEMMA	272	2,275
81	SARAY	262	2,191
82	AFRICA	260	2,174
83	IRIS	258	2,158
84	PAOLA	257	2,149
85	AMPARO	256	2,141
86	MARIA CARMEN	255	2,133
87	VERONICA	253	2,116
88	TANIA	252	2,107
89	LEYRE	249	2,082
90	OLGA	248	2,074
91	NOEMI	244	2,041
92	LEIRE	242	2,024
93	MARIA JOSE	230	1,923
94	LYDIA	228	1,907
95	LUNA	227	1,898
96	ELSA	219	1,831
97	RUTH	219	1,831
98	NADIA	217	1,815
99	CARLOTA	215	1,798
100	VEGA	209	1,748
